GHGRP ID,Landfill ID,Landfill Name,State,City,County,Ownership Type,Landfill Owner Organization(s),Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Finish Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,LFG Use Details,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),End User(s),Project Developer(s),Project Owner(s),Product Supplier(s),Self-Developed,Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided,Latitude,Longitude
1008012.0,474,CID Recycling and Disposal Facility,IL,Chicago,Cook,Private,WM,31065972.0,2007.0,Yes,1.944,0.015,539-0,Shutdown,Project #1,1988-01-01,2000-01-01,Electricity,Gas Turbine,,"3 Centaur units installed in 1988, 1 removed in 1999",9.3,9.3,,Commonwealth Edison Company (ComEd),Bio Energy Partners,"WM Illinois Renewable Energy, LLC",Solar Turbines Incorporated,No,0.0,0.0,41.655,-87.578
1007065.0,1706,Winnebago County Snell Road Landfill,WI,Oshkosh,Winnebago,Public,"Winnebago County, WI",5000000.0,,Yes,0.168,,1786-0,Shutdown,Combination Project,1989-01-01,2000-01-01,Electricity,Reciprocating Engine,,"1 Centaur unit installed in 1989, switched to 3 Jenbacher 1 MW IC engine-generator sets in 1999",0.45,,0.25,Wisconsin Public Service Corporation,"Winnebago County, WI",,GE Energy - Jenbacher Gas Engines,Yes,0.0,0.0,44.06,-88.565
1003588.0,475,Lake LF,IL,Northbrook,Cook,Private,WM,15786494.0,1993.0,Yes,1.51,0.002,540-0,Shutdown,Project #1,1988-01-01,2001-01-01,Electricity,Gas Turbine,,"originally, 3 Centaur units installed in 1987",7.56,9.3,,Commonwealth Edison Company (ComEd),Bio Energy Partners,"WM Illinois Renewable Energy, LLC",Blackhawk Technology Company; Solar Turbines Incorporated,No,0.0,0.0,42.1055,-87.8125
1004123.0,1929,Sonoma County Central Disposal Site,CA,Petaluma,Sonoma,Public,"Sonoma County, CA",16244221.0,2021.0,Yes,2.557,0.947,166999-1,Shutdown,"Project #1, Expansion #1",1996-06-01,2003-03-01,Electricity,Reciprocating Engine,,4 CAT 3516 engines installed in 1996,3.2,3.2,1.38,Pacific Gas and Electric Company (PG&E),"Aria Energy, LLC","Sonoma County, CA","Caterpillar, Inc.",No,0.0,0.0,38.29694,-122.74222
1004976.0,1880,Citizens Disposal Landfill,MI,Grand Blanc,Genesee,Private,"Republic Services, Inc.",15754824.0,2021.0,Yes,3.655,0.164,166928-1,Shutdown,"Project #1, Expansion #1",2000-04-01,2003-04-01,Electricity,Cogeneration,,(1) additional Caterpillar 3516 engine,0.8,0.8,0.432,Consumers Energy,Granger Energy,,"Caterpillar, Inc.",No,0.0,0.0,42.91468,-83.72249
1002655.0,741,Brown Station Road Sanitary Landfill,MD,Upper Marlboro,Prince George's,Public,"Prince George's County, MD",19027722.0,2021.0,Yes,2.74,0.99,166975-0,Shutdown,Project #2,1987-04-20,2003-12-01,Electricity,Reciprocating Engine,,LFG fuels (3) 850-kW Waukesha engines at County Correctional Center,2.55,2.55,1.33,"PJM Interconnection, LLC; Prince George's County Correctional Center","Prince George's County, MD","Prince George's County, MD","Curtis Engine & Equipment, Inc.; General Electric - Distributed Power",Yes,0.0,0.0,38.851,-76.789
1006283.0,1845,Central LF,RI,Johnston,Providence,Private,Rhode Island Resource Recovery Corporation,40436176.0,2021.0,Yes,15.289,1.147,166424-0,Shutdown,Project #1,1990-01-01,2004-01-01,Electricity,Reciprocating Engine,,"(9) 1,700-kW Waukesha units, operating at 75% capacity",12.0,15.3,,ISO - New England,Palmer Capital Corporation,Ridgewood Renewable Power LLC,General Electric - Distributed Power,No,0.0,0.0,41.80468,-71.50216
1003680.0,287,Sycamore SLF,CA,Santee,San Diego,Private,"Republic Services, Inc.",33475005.0,2021.0,Yes,4.915,1.472,347-0,Shutdown,Project #1,1988-12-31,2004-04-01,Electricity,Gas Turbine,,(2) 10.8 MMBtu/hr Saturn recuperated gas turbines driving 933 kW generators,1.48,1.866,,San Diego Gas & Electric Company,"Gas Recovery Systems, LLC",Fortistar Methane Group,Solar Turbines Incorporated,No,0.0,0.0,32.8496,-117.02667
1007685.0,779,Granby SLF,MA,Granby,Hampshire,Private,WM,6437059.0,2013.0,Yes,0.581,,849-0,Shutdown,Project #1,2001-10-15,2004-09-01,Electricity,Reciprocating Engine,,4 CAT 398 engines originally (415 kW and 260 cfm each),1.6,1.6,,Constellation,Industrial Power Services Corporation,,"Caterpillar, Inc.",No,0.0,0.0,42.2214,-72.5459
1004823.0,965,Al Turi LF,NY,Goshen,Orange,Private,"Al Turi Landfill, Incorporated",5946885.0,2003.0,Yes,0.725,,1036-1,Shutdown,"Project #1, Expansion #1 & De-Expansion #1",1999-01-01,2005-01-01,Electricity,Reciprocating Engine,,(2) Caterpillar 800 kW engines installed and the Ruston 1.2 MW engine retired,3.79,4.4,2.6,"Orange & Rockland Utilities, Inc.",,"Ameresco, Inc.","Caterpillar, Inc.",No,0.0,0.0,41.39763,-74.32233
1007685.0,779,Granby SLF,MA,Granby,Hampshire,Private,WM,6437059.0,2013.0,Yes,0.581,,849-1,Shutdown,"Project #1, Expansion #1",2004-09-01,2005-01-01,Electricity,Reciprocating Engine,,5th CAT 398 engine added (415 kW and 260 cfm),0.4,0.4,,Constellation,Industrial Power Services Corporation,,"Caterpillar, Inc.",No,0.0,0.0,42.2214,-72.5459
1007703.0,1888,Venice Park Recycling & Disposal Facility,MI,Lennon,Shiawassee,Private,WM,11524220.0,2021.0,Yes,3.162,0.127,166937-1,Shutdown,"Project #1, Expansion #1",2001-01-01,2005-01-01,Electricity,Reciprocating Engine,,(1) Caterpillar 3516 engine,0.8,0.8,0.4,Consumers Energy,"North American Natural Resources, Inc. (NANR)",,"Caterpillar, Inc.",No,0.0,0.0,42.979932,-83.972657
,1709,Dane County LF #1-Verona,WI,Verona,Dane,Public,"Dane County Waste & Renewables, WI",1050000.0,,Yes,0.18,,1789-0,Shutdown,Project #1,1995-01-01,2005-04-01,Electricity,Reciprocating Engine,,(1) Caterpillar 3412TA (350 kW) and (1) Caterpillar 3412NA (220 kW),0.65,,,Alliant Energy,"Dane County Waste & Renewables, WI",,"Caterpillar, Inc.",Yes,0.0,0.0,42.9928,-89.5261
1006283.0,1845,Central LF,RI,Johnston,Providence,Private,Rhode Island Resource Recovery Corporation,40436176.0,2021.0,Yes,15.289,1.147,166424-1,Shutdown,"Project #1, Expansion #1",2004-01-01,2005-12-01,Electricity,Reciprocating Engine,,(2) Deutz units at 1.2 MW each,2.4,2.4,,ISO - New England,Palmer Capital Corporation,Ridgewood Renewable Power LLC,DEUTZ Power Systems GmbH & Co KG,No,0.0,0.0,41.80468,-71.50216
1004557.0,785,Plainville LF,MA,Plainville,Norfolk,Private,"Republic Services, Inc.",7426271.0,1998.0,Yes,1.52,0.871,180226-0,Shutdown,Project #2,2003-03-01,2006-01-01,Electricity,Reciprocating Engine,,(7) Caterpillar G3516 LE engines,5.3,5.6,,Plainville Generating Company,DTE Biomass Energy,Lorusso Corporation,"Caterpillar, Inc.",No,0.0,0.0,42.0392,-71.292
1004123.0,1929,Sonoma County Central Disposal Site,CA,Petaluma,Sonoma,Public,"Sonoma County, CA",16244221.0,2021.0,Yes,2.557,0.947,166999-2,Shutdown,"Project #1, Expansion #2",2003-03-01,2006-01-01,Electricity,Reciprocating Engine,,2 CAT 3516 engines,1.1,1.6,0.2,Pacific Gas and Electric Company (PG&E),"Aria Energy, LLC","Sonoma County, CA","Caterpillar, Inc.",No,0.0,0.0,38.29694,-122.74222
1003732.0,993,Modern Landfill Inc,NY,Youngstown,Niagara,Private,"Modern Disposal Services, Inc",23228918.0,2021.0,Yes,4.478,,1065-0,Shutdown,Project #1,2001-06-01,2006-02-09,Electricity,Cogeneration,,(7) Caterpillar G3516 engines; heat captured from jacket water and engine exhaust is used for operations at a 12-acre hydroponic greenhouse for growing tomatoes,5.6,5.6,3.3,H2Gro Greenhouses; Niagara Mohawk Power Corporation,"Aria Energy, LLC; Model City Energy, LLC","Archaea Energy, LLC; Model City Energy, LLC","Caterpillar, Inc.",No,0.0,0.0,43.210708,-78.978997
1007027.0,1883,Ottawa County Farms Landfill,MI,Coopersville,Ottawa,Private,"Republic Services, Inc.",29261307.0,2021.0,Yes,3.098,0.238,166932-0,Shutdown,Project #1,1994-06-21,2006-02-13,Electricity,Reciprocating Engine,,(6) CAT 3516 engines,4.5,4.8,2.24,Consumers Energy,Granger Energy,,"Caterpillar, Inc.",No,0.0,0.0,43.0502,-85.95682
1005786.0,1837,North Wake County Landfill,NC,Raleigh,Wake,Public,"Wake County, NC",6060000.0,2008.0,Yes,2.2,,166410-0,Shutdown,Project #1,1997-11-01,2006-05-15,Direct,Boiler,,"LFG treated to remove moisture but not contaminants; 1.8-mile pipeline to Cleaver Brooks fire-tube steam boiler designed to burn LFG with NG as back-up, generating 23-25,000 lb steam/hr, 1/2 of plant's demand",,,1.296,Mallinckrodt Pharmaceuticals (SpecGx LLC),DTE Biomass Energy,DTE Biomass Energy,Houston Service Industries,No,0.0,0.0,35.908,-78.58
1004823.0,965,Al Turi LF,NY,Goshen,Orange,Private,"Al Turi Landfill, Incorporated",5946885.0,2003.0,Yes,0.725,,1036-2,Shutdown,"Project #1, De-Expansion #2",2005-01-01,2007-01-01,Electricity,Reciprocating Engine,,(1) Caterpillar engine moved and (2) Ruston 0.7 MW engines shut down,1.33,2.2,1.4,"Orange & Rockland Utilities, Inc.","Ameresco, Inc.","Ameresco, Inc.","Caterpillar, Inc.",No,0.0,0.0,41.39763,-74.32233
1006178.0,1878,Ann Arbor SLF Phase I & II,MI,Ann Arbor,Washtenaw,Public,"City of Ann Arbor, MI",3716670.0,1992.0,Yes,0.039,,166926-0,Shutdown,Project #1,1998-04-22,2007-01-01,Electricity,Reciprocating Engine,,(2) Caterpillar 3516 engines,0.7,1.6,,DTE Energy,CTR; DTE Biomass Energy,Energy Power Partners,"Caterpillar, Inc.",No,0.0,0.0,42.2278,-83.6997
1002436.0,996,Broome County Landfill,NY,Binghamton,Broome,Public,"Broome County, NY",8956144.0,2021.0,Yes,1.96,0.139,1068-0,Shutdown,Project #1,2004-03-13,2007-01-01,Electricity,Reciprocating Engine,,(2) Caterpillar 399 SITA engines/generators [engines 1 and 2],1.3,,0.72,New York State Electric & Gas Corporation (NYSEG),Meridian Resources,,"Caterpillar, Inc.",No,0.0,0.0,42.2368,-75.98338
1006817.0,1459,McCommas Bluff Landfill,TX,Dallas,Dallas,Public,"City of Dallas, TX",56959590.0,2021.0,Yes,13.319,2.019,1535-0,Shutdown,Project #1,2000-01-01,2007-01-01,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,"original gas cleaning equipment included: SulfaTreat, temperature swing adsorption (TSA), pressure swing adsorption (PSA) for CO2 removal, and thermal oxidizer",,,5.45,Atmos Energy Corporation,Dallas Landfill Gas Production LLC,Energy Power Partners,,No,0.0,0.0,32.684168,-96.718334
1007834.0,1695,Ridgeview RDF,WI,Whitelaw,Manitowoc,Private,WM,15013659.0,2021.0,Yes,2.253,0.0,1775-1,Shutdown,"Project #1, Expansion #1",2004-01-01,2007-01-01,Electricity,Reciprocating Engine,,1 CAT 3516 engine,0.75,0.8,0.396,Wisconsin Public Service Corporation,Bio Energy Partners,"WM Renewable Energy, LLC","Caterpillar, Inc.",No,0.0,0.0,44.1725,-87.8418
1006561.0,1596,Virginia Beach Landfill No. 2,VA,Virginia Beach,Virginia Beach city,Public,"City of Virginia Beach, VA",7500000.0,,Yes,1.2,0.6,1675-0,Shutdown,Project #1,2001-11-23,2007-01-01,Electricity,Reciprocating Engine,,"36 engines each producing 350 kW, simultaneously burning LFG and diesel fuel",3.6,12.0,,"PJM Interconnection, LLC",INGENCO,"Archaea Energy, LLC",,No,0.0,0.0,36.785,-76.205
1007976.0,1273,Bradford County Landfill,PA,Troy,Bradford,Public,"Northern Tier Solid Waste Authority (NTSWA), PA",3652939.0,2021.0,Yes,0.586,0.0,1348-0,Shutdown,Project #1,2002-04-01,2007-01-17,Electricity,Reciprocating Engine,,(1) Caterpillar 3516 engine,0.8,0.8,0.504,PenElec,"Northern Tier Solid Waste Authority (NTSWA), PA; PPL Corporation",Energy Power Partners,"Caterpillar, Inc.",Yes,0.0,0.0,41.777,-76.63
1004600.0,550,Deercroft RDF,IN,Michigan City,LaPorte,Private,WM,10602806.0,2002.0,Yes,0.983,0.041,617-0,Shutdown,Project #1,1997-01-01,2007-09-28,Electricity,Reciprocating Engine,,(4) Caterpillar 3516 engines @ ~280 cfm each,2.93,3.2,1.51,Wabash Valley Power Alliance,Wabash Valley Power Alliance,,"Caterpillar, Inc.",Yes,0.0,0.0,41.65138,-86.9031
1007878.0,1661,Deer Track Park Landfill,WI,Watertown,Jefferson,Private,WM,8136919.0,2021.0,Yes,2.289,,1741-0,Shutdown,Project #1,2006-02-01,2007-12-01,Electricity,Reciprocating Engine,,(4) 800-kW Caterpillar engines,2.84,3.2,1.51,We Energies,"WM Renewable Energy, LLC",,"Caterpillar, Inc.",Yes,0.0,0.0,43.0869,-88.7566
1002436.0,996,Broome County Landfill,NY,Binghamton,Broome,Public,"Broome County, NY",8956144.0,2021.0,Yes,1.96,0.139,1068-1,Shutdown,"Project #1, Expansion #1",2007-01-01,2008-01-01,Electricity,Reciprocating Engine,,(1) Caterpillar 398 SITA engine/generator added [engine 3],0.5,,,New York State Electric & Gas Corporation (NYSEG),Meridian Resources,,"Caterpillar, Inc.",No,0.0,0.0,42.2368,-75.98338
1006969.0,940,Burlington County SLF,NJ,Florence,Burlington,Public,Burlington County Board of Chosen Freeholders,10879415.0,2021.0,Yes,3.269,2.909,167008-0,Shutdown,Project #2,2002-12-01,2008-01-01,Electricity,Cogeneration,,"Four 30 kW Capstone microturbines installed outside the greenhouse provide electricity for the greenhouse (e.g., growing lights) and waste heat to heat the greenhouse when ambient temperatures require it",0.12,0.12,0.0864,Rutgers EcoComplex,Burlington County; Rutgers University,,Capstone Turbine Corporation,Yes,0.0,0.0,40.076,-74.76
1001643.0,1288,Greentree Landfill,PA,Kersey,Elk,Private,,26222011.0,2021.0,Yes,5.128,0.088,1363-0,Shutdown,Project #1,2007-07-01,2008-01-01,Renewable Natural Gas,Electricity,Pipeline Injection,"7-mile pipeline transports RNG (7,000 MMBtu/day, 2+Bcf/yr) for use in combined-cycle equipment to create RECs to satisfy RPS requirements, plant capacity is 15.12 mmscfd, cleaning: membrane technology, PSA and activated carbon pretreatment system",,,3.6,"Conectiv Energy Supply, Inc.",American Exploration; EDF Renewable Energy,Fortistar Methane Group,Air Liquide Biogas; AXD Service Industries Corp.,No,0.0,0.0,41.2953,-78.6469
1006817.0,1459,McCommas Bluff Landfill,TX,Dallas,Dallas,Public,"City of Dallas, TX",56959590.0,2021.0,Yes,13.319,2.019,1535-1,Shutdown,"Project #1, De-Expansion #1",2007-01-01,2008-01-01,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,"original gas cleaning equipment included: SulfaTreat, temperature swing adsorption (TSA), pressure swing adsorption (PSA) for CO2 removal, and thermal oxidizer",,,2.8,Atmos Energy Corporation,Dallas Landfill Gas Production LLC,Energy Power Partners,,No,0.0,0.0,32.684168,-96.718334
1004557.0,785,Plainville LF,MA,Plainville,Norfolk,Private,"Republic Services, Inc.",7426271.0,1998.0,Yes,1.52,0.871,180226-1,Shutdown,"Project #2, De-Expansion #1",2006-01-01,2008-01-01,Electricity,Reciprocating Engine,,(6) Caterpillar G3516 LE engines,4.7,4.8,2.6,Plainville Generating Company,DTE Biomass Energy,Lorusso Corporation,"Caterpillar, Inc.",No,0.0,0.0,42.0392,-71.292
1007705.0,2407,Timberline Trail Recycling & Disposal Facility,WI,Weyerhaeuser,Rusk,Private,WM,4610743.0,2021.0,Yes,1.34,0.039,180768-0,Shutdown,Project #1,2006-01-23,2008-01-31,Electricity,Reciprocating Engine,,(4) Caterpillar 3516 engines,2.88,3.2,1.5,Dairyland Power Cooperative,"WM Renewable Energy, LLC","WM Renewable Energy, LLC","Caterpillar, Inc.",Yes,0.0,0.0,45.45417,-91.35838
1007718.0,1284,Southern Alleghenies LF,PA,Davidsville,Somerset,Private,Noble Environmental,9967871.0,2021.0,Yes,1.277,0.227,180815-0,Shutdown,Combination Project,2007-09-01,2008-04-01,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,"12-mile pipeline from Shade LF and 2.5-mi pipeline from Southern Alleghenies LF deliver 970 Btu gas; uses membrane technology; total delivery to pipeline from both landfills is 650,000 MMBtu/yr",,,3.532,Peoples Natural Gas,"Keystone Renewable Energy, LLC; Leaf Clean Energy",Montauk Renewables,Air Liquide Biogas,No,0.0,0.0,40.2361,-78.9
1007685.0,779,Granby SLF,MA,Granby,Hampshire,Private,WM,6437059.0,2013.0,Yes,0.581,,849-2,Shutdown,"Project #1, Expansion #2",2005-01-01,2008-06-01,Electricity,Reciprocating Engine,,6th and 7th CAT 398 engines added (415 kW and 260 cfm each),0.8,0.8,,Constellation,Industrial Power Services Corporation,,"Caterpillar, Inc.",No,0.0,0.0,42.2214,-72.5459
1004200.0,941,Cape May County MUA Secure Landfill,NJ,Woodbine,Cape May,Public,"Cape May County Municipal Utilities Authority, NJ",6321290.0,2021.0,Yes,0.768,0.472,180779-0,Shutdown,Project #2,2007-04-20,2008-06-18,Electricity,Cogeneration,,"(2) 150 kW Waukesha rich burn engines, heat for maintenance facility & offices",0.3,0.3,0.173,"Cape May County Municipal Utilities Authority, NJ; PJM Interconnection, LLC","Cape May County Municipal Utilities Authority, NJ","Cape May County Municipal Utilities Authority, NJ",General Electric - Distributed Power,Yes,0.0,0.0,39.2294,-74.7749
1003744.0,521,Beecher Landfill,IL,Beecher,Will,Private,WM,4613270.0,1996.0,Yes,0.641,,586-0,Shutdown,Project #1,2006-06-01,2008-10-01,Electricity,Reciprocating Engine,,(2) 1.06 MW Jenbacher engines,1.53,2.12,0.73,Commonwealth Edison Company (ComEd),Sexton Energy LLC,,GE Energy - Jenbacher Gas Engines,No,0.0,0.0,41.3915,-87.6388
1011793.0,464,Macon Bibb Walker Road MSWL,GA,Macon,Bibb,Public,"Macon-Bibb, GA",4416070.0,2021.0,Yes,0.633,0.023,529-1,Shutdown,"Project #1, Expansion #1",1995-01-01,2008-10-01,Direct,Direct Thermal,,"4 brick kilns, 2 miles away",,,0.3,Cherokee Brick & Tile,Cherokee Brick & Tile,,,Yes,0.0,0.0,32.7995,-83.6107
,1709,Dane County LF #1-Verona,WI,Verona,Dane,Public,"Dane County Waste & Renewables, WI",1050000.0,,Yes,0.18,,1789-1,Shutdown,"Project #1, De-Expansion #1",2005-04-01,2009-01-01,Electricity,Reciprocating Engine,,(1) Caterpillar 3412TA (350 kW),0.35,0.35,,Alliant Energy,"Dane County Waste & Renewables, WI",,"Caterpillar, Inc.",Yes,0.0,0.0,42.9928,-89.5261
1003460.0,1255,Grand Central SLF,PA,Pen Argyl,Northampton,Private,WM,22761453.0,2021.0,Yes,5.257,1.057,1330-0,Shutdown,Project #1,2001-03-01,2009-01-01,Electricity,Gas Turbine,,(3) Solar Centaur turbines,6.4,9.3,6.0,Exelon Power,Green Knight Economic Development Corporation; WM,Green Knight Economic Development Corporation,Solar Turbines Incorporated,Yes,0.0,0.0,40.8581,-75.2619
1007671.0,547,Jay County LF,IN,Portland,Jay,Private,WM,6038933.0,2021.0,Yes,1.35,0.07,614-0,Shutdown,Project #1,2005-04-05,2009-01-01,Electricity,Reciprocating Engine,,(4) Caterpillar 3516 engines @ ~280 cfm each,1.73,3.2,,Wabash Valley Power Alliance,Wabash Valley Power Alliance,,"Caterpillar, Inc.",Yes,0.0,0.0,40.376,-85.093
1011793.0,464,Macon Bibb Walker Road MSWL,GA,Macon,Bibb,Public,"Macon-Bibb, GA",4416070.0,2021.0,Yes,0.633,0.023,529-2,Shutdown,"Project #1, Expansion #2",2005-01-01,2009-01-01,Direct,Direct Thermal,,"4 brick kilns, 2 miles away",,,0.416,Cherokee Brick & Tile,Cherokee Brick & Tile,,,Yes,0.0,0.0,32.7995,-83.6107
1002863.0,462,Old Dixie Highway MSW Landfill,GA,Dalton,Whitfield,Public,"Dalton-Whitfield Regional Solid Waste Management Authority (DWRSWMA), GA",6781334.0,2021.0,Yes,0.491,0.392,527-0,Shutdown,Project #1,2008-06-12,2009-01-01,Direct,Boiler,,"2-mile pipeline to one boiler, end user to consume 240 billion Btu/yr, facility manufactures latex for carpet backing applications",,,1.296,"Trinseo, LLC","Dalton-Whitfield Regional Solid Waste Management Authority (DWRSWMA), GA","Dalton-Whitfield Regional Solid Waste Management Authority (DWRSWMA), GA","Perennial Energy, Inc.",Yes,0.0,0.0,34.6516,-84.945
1003871.0,929,Rumble Landfill #2,MO,Sugar Creek,Jackson,Private,WM,3457073.0,1997.0,Yes,0.756,0.242,180438-0,Shutdown,Project #2,2005-09-01,2009-01-01,Direct,Direct Thermal,,"2,000 feet of 10-inch pipeline to injection point in cement plant preheater tower; offsets 5% of fossil fuel use",,,1.34,Central Plains Cement (Eagle Materials),Lafarge North America Inc.; WM,,,Yes,0.0,0.0,39.1405,-94.4
1007976.0,1273,Bradford County Landfill,PA,Troy,Bradford,Public,"Northern Tier Solid Waste Authority (NTSWA), PA",3652939.0,2021.0,Yes,0.586,0.0,1348-1,Shutdown,"Project #1, Expansion #1 (CHP)",2007-01-17,2009-01-06,Electricity,Cogeneration,,"25% of CAT 3516 engine jacket waste heat provides 2.5 MMBtu/hr for hot water in 14,400 ft2 lettuce & herb greenhouse & 1.85 MMBtu/hr in thermal energy for hydroponic ponds, greenhouse has (98) 1000-watt lights & (8) 36-inch fans for heating & cooling",,0.0,,Northern Tier Greens,"Northern Tier Solid Waste Authority (NTSWA), PA; PPL Corporation",Energy Power Partners,"Caterpillar, Inc.",Yes,0.0,0.0,41.777,-76.63
1007892.0,1928,Palmetto Landfill,SC,Wellford,Spartanburg,Private,WM,22938750.0,2015.0,Yes,4.17,1.429,166993-0,Shutdown,Project #1,2003-04-01,2009-08-01,Electricity,Cogeneration,,"9.5-mile pipeline brings cleaned gas to (4) converted gas turbines with 300F heat recovery boilers, each producing 1.2 MW electricity & 18 MMBtu/hr hot water for industrial use; supplies 25% of BMW's annual electrical needs & 80% of annual thermal needs",4.4,4.8,,"BMW Manufacturing Co., LLC","Ameresco, Inc.",,,No,0.0,0.0,34.9348,-82.0761
